username,reported_following,reported_followers,processed_following,processed_followers
BlushNightclub,0,0,0,0
teslden,335,70,335,0
LongmireMD,0,0,0,0
Eli_Krumova,0,0,0,0
vlachosv,3383,278,3383,1
suzie_bash,3950,4554,3950,12
shenheng,897,928,0,0
PaulBarba_,0,0,0,0
TMSayan,0,0,0,0
vinodv,890,505,890,3
CMLTeamLTD,0,0,0,0
phpdocx,3580,3710,3580,6
zenith_apex__,493,187,493,6
CreativeAIBKK,0,0,0,0
brian_a_burns,1825,3560,1825,33
onebillsoftware,4688,1255,4688,3
TrueFilmLovers,0,0,0,0
00xglitch,2635,749,0,1
michellercarney,2365,2921,2364,34
bjlange,486,604,486,5
jameszhou02,160,278,160,3
muckrack,64696,59109,64694,8
SportsAO_MLS,0,0,0,0
VishalKumarS11,0,0,0,0
TheZachMueller,0,0,0,0
NimaDaryabar,0,0,0,0
anik_radwan,122,4,122,0
MuxAtBerkeley,0,0,0,0
sahilshah91,1418,786,1418,7
stevenyfeng,440,1874,440,70
clifapt,340,404,340,19
claranahhh,595,963,595,72
DerekvTilborg,0,0,0,0
pschwllr,3060,5268,3060,68
AI_BioPhD,0,0,0,0
janleike,332,111573,332,558
MartinKessler91,0,0,0,0
jagadis_n,506,417,506,2
dantheplanner,548,293,548,0
anas_ant,1679,3038,1679,150
LiangZhenwen,0,0,0,0
BrianDuSell,0,0,0,0
ArijRiabi,0,0,0,0
fractalego,1563,208,1563,7
cheeesio,658,2202,658,132
devoidikk,1557,424,1557,11
taguchi_c,86,128,86,8
shrutirij,534,6236,534,195
liliang_ren,555,3589,555,101
tiwa_eisape,866,1061,866,38
IamDanialNamazi,0,0,0,0
yagizdemir,1271,217,1271,6
zehavoc,3932,5668,3932,153
iamrobotbear,6446,4179,6446,12
leonardnj,356,68,356,0
pepebandera1,1692,29106,1692,0
xArda_1234,0,0,0,0
machinelearnflx,28672,168693,28668,164
Lab_Sense,0,0,0,0
Infometryinc,0,0,0,0
neuralvertigo,4046,306,4045,12
DanKornas,0,0,0,0
DeveloperDipta,0,0,0,0
shirleypaley,181,176,181,1
pdehaan,1341,1755,1341,2
DevWExpert,0,0,0,0
r_sanchez007,885,255,885,0
eventsautomated,13471,17895,13471,5
dalelane,3385,4270,3385,5
JoelHarl,0,0,0,0
Nada__Medhat,0,0,0,0
nagaraj_adiga,601,78,0,0
bumpslide,573,408,573,1
SpikeOfJustice,0,0,0,0
AndrewVoirol,0,0,0,0
ragnorco,4328,639,4328,6
jinxu06,590,435,590,11
samiramanabi,655,4065,654,39
Huangyu58589918,0,0,0,0
sol_venkat,7503,473,7503,1
zdhnarsil,1518,3530,1518,95
bestcrmagency,123,14,123,0
NovaNet_zkp,0,0,0,0
jackyliang42,762,5971,762,96
MasterScrat,0,0,0,0
mjafaripoor110,1966,272,1966,6
frncswllms,1267,2402,1267,34
Yulongchen1010,0,0,0,0
aadityaura,959,1957,959,26
raila_san,807,175,807,3
flyteorg,120,1027,120,20
neuralsofth,2249,263,2249,0
Wilmer_arturo_,0,0,0,0
sruthikalyani,5070,2403,5070,1
Brad_Hastedt,0,0,0,0
rajesh1226,934,107,934,1
Ruiling_Appfoul,0,0,0,0
pushkarnim,2318,285,2318,1
N_P_S_IND,0,0,0,0
BurakSafaker,0,0,0,0
niyetheboneless,2411,1879,2411,1
stemmr_,1093,129,1093,0
Daveprogram,0,0,0,0
BathshebaP79011,0,0,0,0
sponsorringus,934,42,934,0
WebOccult,0,0,0,0
ashad2505,143,15,143,1
levisz,561,194,561,1
Emily_Alsentzer,0,0,0,0
Nick_J_Jackson,0,0,0,0
piWiesentheid,0,0,0,0
igornefedovi,1031,705,1031,1
SashaMTL,0,0,0,0
ShamiikRoy,0,0,0,0
Mascobot,0,0,0,0
digitallynativ,1284,17989,1284,9
EthanReidMorro,0,0,0,0
yutai95,1536,262,1536,8
MakarandTapaswi,0,0,0,0
qi7qi7duan,1490,219,1490,3
aravindr93,176,3111,176,61
yaavind,229,47,229,0
tuanacelik,877,6094,877,36
first_hire,628,83,628,0
Vbob202,0,0,0,0
ppk_dx,824,248,824,1
SuraSys1,0,0,0,0
parama_pal,463,172,463,1
dongguangming,3838,387,3838,6
szaglam,717,1595,717,0
DerekLegenzoff,0,0,0,0
Hariram_17,0,0,0,0
MarinaSpindler,0,0,0,0
RCMT_Solutions,0,0,0,0
mhrezaeics,347,59,347,8
JohnSnowLabs,0,0,0,0
Ayan_panja5,0,0,0,0
ragghhavvv,675,20,675,1
alvarozone,474,54,474,0
xplorenest,1373,165,1373,0
ShivaSa65237301,0,0,0,0
ryanmullins,192,3542,192,0
RLHoeppi,0,0,0,0
hey_jamie,283,277,283,0
dsweld,272,2742,272,67
afalk,4237,10009,4237,6
sujay_kapadnis,400,388,400,7
mbaddar2,518,187,518,2
Asia_ptyltd,0,0,0,0
Tudorslash03,0,0,0,0
idealshare,4116,302,4116,0
allavsoft,4229,532,4229,0
EfroniYonathan,0,0,0,0
alonsonlp,122,81,122,2
MouaadJabrane,0,0,0,0
LucasBandarkar,0,0,0,0
aldoghanfayez23,1434,160,1434,3
vinhowe,1035,98,1035,3
bagofwordsai,4172,362,4172,6
salil_23,759,94,0,1
toshali_m,1424,209,1424,4
MrRudRud,0,0,0,0
mayugmm,474,113,474,1
unography,2295,1478,2294,8
nileshtrivedi,6768,10458,6768,28
AnantaVichara,0,0,0,0
